uso_credito_rotativo,edad,atrasos_30_59d,ratio_deuda,ingreso_mensual,lineas_credito_abiertas,atrasos_90d,prestamos_inmobiliarios,atrasos_60_89d,dependientes,total_atrasos,ingreso_por_dependiente,mora_real,score_riesgo,prediccion,condicion_real,nivel_score
0.0,39,0,0.412698413,8000.0,7,0,1,0,2.0,0,2666.6666666666665,0,6.5,0,Sin mora,Muy Bajo
0.013843976,59,0,0.10267398,5833.0,6,0,0,0,0.0,0,5833.0,0,7.1,0,Sin mora,Muy Bajo
0.000155035,59,0,0.491822222,11249.0,16,0,3,0,2.0,0,3749.6666666666665,0,5.2,0,Sin mora,Muy Bajo
0.040508242,39,0,95.0,5400.0,11,0,0,0,0.0,0,5400.0,0,10.1,0,Sin mora,Muy Bajo
0.257563644,42,0,0.333333333,7400.0,15,0,1,0,1.0,0,3700.0,0,31.2,0,Sin mora,Bajo
0.566811953,43,0,0.428012693,13550.0,15,0,2,0,4.0,0,2710.0,0,48.3,0,Sin mora,Bajo
0.134773913,45,0,0.251774823,10000.0,6,0,2,0,6.0,0,1428.571428571429,0,10.2,0,Sin mora,Muy Bajo
0.9999999,50,98,0.0,1350.0,0,98,0,98,0.0,294,1350.0,1,88.2,1,Con mora,Alto
0.094621057,72,0,118.0,5400.0,13,0,0,0,0.0,0,5400.0,0,9.0,0,Sin mora,Muy Bajo
0.002903132,30,0,1.911668484,916.0,7,0,1,0,0.0,0,916.0,0,7.0,0,Sin mora,Muy Bajo
0.989400353,51,0,0.87424362,3800.0,6,0,2,0,0.0,0,3800.0,0,57.3,1,Sin mora,Medio
0.260255845,69,0,0.233622731,3800.0,5,0,1,0,0.0,0,3800.0,0,14.6,0,Sin mora,Muy Bajo
0.330920495,45,0,3.013732834,800.0,11,0,2,0,0.0,0,800.0,0,31.6,0,Sin mora,Bajo
0.9999999,61,0,0.0,3659.0,0,0,0,1,2.0,1,1219.6666666666667,0,60.3,1,Sin mora,Medio
0.063629759,75,0,1042.0,5400.0,6,0,1,0,0.0,0,5400.0,0,5.3,0,Sin mora,Muy Bajo
0.889577288,47,0,0.092590741,10000.0,4,0,0,0,0.0,0,10000.0,0,61.1,1,Sin mora,Medio
0.009124772,62,0,0.002352388,4250.0,1,0,0,0,1.0,0,2125.0,0,5.7,0,Sin mora,Muy Bajo
0.534949046,49,0,0.725689405,6200.0,12,0,2,0,4.0,0,1240.0,0,53.3,1,Sin mora,Medio
0.658581183,53,0,0.321926625,9321.0,9,0,2,0,0.0,0,9321.0,0,42.4,0,Sin mora,Bajo
0.171521773,46,0,0.69050476,12500.0,11,0,5,0,2.0,0,4166.666666666667,0,40.6,0,Sin mora,Bajo
0.021008224,66,0,44.0,5400.0,11,0,0,0,0.0,0,5400.0,0,5.2,0,Sin mora,Muy Bajo
0.161206727,57,0,4806.0,5400.0,10,0,2,0,0.0,0,5400.0,0,22.2,0,Sin mora,Muy Bajo
0.9999999,43,0,0.25214676,1280.0,2,0,0,0,2.0,0,426.6666666666667,0,44.4,0,Sin mora,Bajo
0.012012093,72,0,0.669768404,4835.0,13,0,3,0,0.0,0,4835.0,0,7.7,0,Sin mora,Muy Bajo
